"Nombre Producto","Descripción","Principio Activo","Uso de Medicación","SKU","Código Barras","Almacen","Proveedor","Unidad Medida","Cantidad","Precio Costo","Precio Venta","Lote","Fecha Vencimiento","Categoría","Marca"
"Arroz Premium Blanco Grano Largo","Arroz de grano largo, ideal para preparar platos gourmet. Apto para comidas criolla, pilafs y platos de cocina internacional. 100% natural sin aditivos","Arroz blanco","Uso culinario - Base para platos principales","ARZ-001","7501234567891","Almacen Principal","Distribuidora de Alimentos Premium","UN","150","12.50","18.00","LOTE2025B","31/12/2026","Alimentos y Bebidas","Premium Resort"
"Aceite de Oliva Extra Virgen","Aceite de oliva de primera presión en frío. Origen España. Sabor intenso y aroma característico","Aceite de oliva puro","Uso culinario - Aderezos y preparaciones","ACE-001","7501234567892","Almacen Principal","Importadora Mediterranea","UN","50","45.00","65.00","LOTE2025C","31/12/2027","Alimentos y Bebidas","Importado"
"Pollo Entero Congelado","Pollo fresco congelado, presentación íntegra. Apto para horno, parrilla y cocción general. Certificado de calidad","Pollo 100%","Uso culinario - Proteína principal","POL-001","7501234567893","Almacen Principal","Avícola del Sur","UN","80","8.50","14.00","LOTE2025A","30/09/2026","Carnes y Aves","Premium"
"Queso Fresco Tipo Oaxaca","Queso fresco de leche pasteurizada. Ideal para tacos, quesadillas y acompañamientos. Textura elástica y sabor suave","Queso fresco","Uso culinario - Acompañamientos","QSO-001","7501234567894","Almacen Principal","Lacteos del Valle","UN","35","11.00","16.50","LOTE2025D","15/10/2026","Lacteos","Regional"
"Cebolla Blanca Fresca","Cebolla blanca tipo Bermuda. Sabor suave. Ideal para ensaladas, guarniciones y frituras. Frescura garantizada","Cebolla blanca","Uso culinario - Vegetal base","CEP-001","7501234567895","Almacen Principal","Hortalizas Locales","UN","100","2.50","4.00","LOTE2025E","20/09/2026","Hortalizas Frescas","Local"
"Tomate Rojo Maduro","Tomate rojo maduro de huerta. Sabor natural intenso. Apto para salsas, ensaladas y preparaciones frescas","Tomate maduro","Uso culinario - Vegetal base","TOM-001","7501234567896","Almacen Principal","Hortalizas Locales","UN","120","3.00","5.00","LOTE2025F","15/09/2026","Hortalizas Frescas","Local"
"Salsa de Tomate Envasada","Salsa de tomate natural envasada. Sin conservantes artificiales. Lista para usar en guisos y preparaciones","Tomate 100%","Uso culinario - Condimento/Base","SAL-001","7501234567897","Almacen Principal","Procesados Artesanales","UN","40","4.50","7.50","LOTE2025G","31/12/2027","Alimentos Procesados","Artesanal"
"Harina de Trigo Premium","Harina de trigo refinada. Apta para panificación y repostería. Rendimiento superior. Empaque hermetico","Trigo 100%","Uso culinario - Base para masas","HAR-001","7501234567898","Almacen Principal","Molinos Unidos","UN","200","3.20","5.00","LOTE2025H","31/03/2027","Harinas y Granos","Premium"
"Azucar Blanca Refinada","Azucar blanca cristalina refinada. Apta para bebidas, postres y preparaciones dulces. Pureza garantizada","Azucar cana","Uso culinario - Endulzante","AZU-001","7501234567899","Almacen Principal","Refineria Central","UN","150","1.80","3.00","LOTE2025I","31/12/2028","Endulzantes","Refinado"
"Sal Yodada de Cocina","Sal blanca yodada. Granulado fino. Apta para coccion y mesa. Enriquecida con yodo","Sal marina","Uso culinario - Condimento","SAL-002","7501234567900","Almacen Principal","Salinera Nacional","UN","100","0.80","1.50","LOTE2025J","31/12/2029","Condimentos","Yodada"
"Cafe Molido Premium","Cafe molido de origen unico. Aroma intenso. Tueste oscuro medio. Apto para cafetera y colador","Cafe 100%","Bebida - Desayuno/Complemento","CAF-001","7501234567901","Almacen Principal","Cafeteria del Alto","UN","30","18.00","28.00","LOTE2025K","31/08/2026","Bebidas","Premium"
"Leche Descremada Pasteurizada","Leche descremada pasteurizada. Bajo contenido de grasa. Apta para beber y cocinar. Larga duracion","Leche 100%","Bebida - Nutricion","LEC-001","7501234567902","Almacen Principal","Lacteos Modernos","UN","80","2.00","3.50","LOTE2025L","20/10/2026","Lacteos","Fresca"
"Pan de Molde Integral","Pan integral de molde. Hecho con granos enteros. Apto para sandwiches y tostadas. Mantiene frescura","Trigo integral","Alimento - Complemento","PAN-001","7501234567903","Almacen Principal","Panaderia Artesanal","UN","200","1.20","2.00","LOTE2025M","18/09/2026","Panificados","Integral"
"Vino Tinto Reserva","Vino tinto de reserva. Origen local. Sabor complejo y afrutado. Apto para acompanamientos gastronomicos","Vino tinto","Bebida - Acompanamiento","VIN-001","7501234567904","Almacen Principal","Bodega del Vinedo","UN","25","15.00","22.00","LOTE2025N","31/12/2028","Bebidas Alcoholicas","Reserva"
"Cerveza Artesanal Lager","Cerveza artesanal tipo lager. Sabor balanceado. Refrescante. Apta para acompanamientos","Cerveza pura","Bebida - Acompanamiento","CER-001","7501234567905","Almacen Principal","Cerveceria Local","UN","60","2.50","4.00","LOTE2025O","15/03/2027","Bebidas Alcoholicas","Artesanal"
"Chocolate Amargo 70%","Chocolate amargo con 70% cacao. Sin azucar anadida. Apto para postres y bebidas calientes","Cacao 70%","Complemento - Bebidas/Postres","CHO-001","7501234567906","Almacen Principal","Chocolateria Selecta","UN","15","22.00","35.00","LOTE2025P","31/12/2027","Dulces y Postres","Premium"
"Miel Pura de Abeja","Miel pura sin procesar. Cosecha local. Apta para bebidas, postres y endulzante natural","Miel natural","Endulzante natural","MIE-001","7501234567907","Almacen Principal","Apicultura Local","UN","20","18.00","28.00","LOTE2025Q","31/12/2028","Endulzantes","Natural"
"Agua Purificada Embotellada","Agua purificada filtrada. Envasada en botellas de 500ml. Apta para beber y cocinar. Higienica","Agua pura","Bebida - Hidratacion","AGU-001","7501234567908","Almacen Principal","Purificadora Central","UN","500","0.50","1.00","LOTE2025R","31/12/2027","Bebidas","Purificada"
"Jugo Natural de Naranja","Jugo natural de naranja recien exprimido. Sin conservantes. Bebida fresca y nutritiva. Diario","Naranja 100%","Bebida - Nutritiva/Fresca","JUG-001","7501234567909","Almacen Principal","Fruteria Fresca","UN","40","3.50","6.00","LOTE2025S","05/09/2026","Bebidas Frescas","Natural"
"Especias Mixtas Molidas","Mezcla de especias para cocina general. Aroma intenso y sabor balanceado. Apta para todo tipo de platos","Mezcla de hierbas","Condimento/Saborizante","ESP-001","7501234567910","Almacen Principal","Especiero Tradicional","UN","5","25.00","40.00","LOTE2025T","31/12/2027","Condimentos","Mixto"
